"Barcode","Vintage","Wine","Location","Bin"
"0118088655","2016","Abacela Bastardo","Tall","J"
"0118039968","2015","Abacela Dolcetto","Tall","G"
"0118088064","2015","Abacela Dolcetto","Tall","H"
"0118088065","2015","Abacela Dolcetto","Tall","H"
"0114436972","2014","Abacela Dolcetto","Tall","E"
"0114436973","2014","Abacela Dolcetto","Tall","E"
"0117729124","2016","Abacela Dolcetto Barrel Select","Tall","F"
"0117729125","2016","Abacela Dolcetto Barrel Select","Tall","F"
"0117729126","2016","Abacela Dolcetto Barrel Select","Tall","F"
"0118088613","2014","Abacela Dolcetto Barrel Select","Tall","J"
"0118088614","2014","Abacela Dolcetto Barrel Select","Tall","J"
"0118087774","2015","Abacela Fifty-Fifty Tempranillo-Malbec Umpqua Valley","Tall","C"
"0118088643","2016","Abacela Graciano","Tall","J"
"0118040064","2016","Abacela Malbec","Tall","G"
"0118088632","2016","Abacela Malbec","Tall","J"
"0117729188","2015","Abacela Malbec Reserve east hill block","Tall","F"
"0120842937","2016","Abacela Merlot","Office","Gracie box"
"0118040187","2015","Abacela Merlot","Tall","G"
"0117729115","2015","Abacela Syrah Barrel Select Estate","Tall","F"
"0117729116","2015","Abacela Syrah Barrel Select Estate","Tall","F"
"0118088895","2014","Abacela Syrah Barrel Select Estate","Tall","K"
"0118088844","2015","Abacela Syrah Estate","Tall","K"
"0117740296","2015","Abacela Syrah Reserve South Face Block","Tall","D"
"0117740297","2015","Abacela Syrah Reserve South Face Block","Tall","D"
"0117729176","2014","Abacela Syrah Reserve South Face Block","Tall","F"
"0114436945","2011","Abacela Syrah Umpqua Valley","Tall","E"
"0120842892","2017","Abacela Tannat","Office","Gracie box"
"0120842893","2017","Abacela Tannat","Office","Gracie box"
"0118176026","2008","Abacela Tawny Port","Cellar","C"
"0118176027","2008","Abacela Tawny Port","Cellar","C"
"0114434631","2011","Abacela Tempranillo","Tall","L"
"0114434632","2011","Abacela Tempranillo","Tall","L"
"0114434633","2011","Abacela Tempranillo","Tall","L"
"0114436908","2011","Abacela Tempranillo","Tall","E"
"0114436909","2011","Abacela Tempranillo","Tall","E"
"0120842925","2016","Abacela Tempranillo Barrel Select Estate","Office","Gracie box"
"0120842926","2016","Abacela Tempranillo Barrel Select Estate","Office","Gracie box"
"0118087740","2015","Abacela Tempranillo Barrel Select Estate","Tall","C"
"0118087741","2015","Abacela Tempranillo Barrel Select Estate","Tall","C"
"0118087742","2015","Abacela Tempranillo Barrel Select Estate","Tall","C"
"0118088646","2014","Abacela Tempranillo Barrel Select Estate","Tall","J"
"0118088660","2009","Abacela Tempranillo Barrel Select Estate","Tall","J"
"0117729137","2015","Abacela Tempranillo Reserve South East Block","Tall","F"
"0117729138","2015","Abacela Tempranillo Reserve South East Block","Tall","F"
"0118174332","2015","Abacela Tempranillo Reserve South East Block","Cellar","E"
"0118088056","2014","Abacela Tempranillo Reserve South East Block","Tall","H"
"0118088057","2014","Abacela Tempranillo Reserve South East Block","Tall","H"
"0118087235","2015","Amavi Cellars Syrah","Tall","B"
"0114434850","2015","Anelare Monsignor Tom's 50 Years of Grace","Tall","L"
"0114434670","2016","Anelare Nonna Viola","Tall","L"
"0114434671","2016","Anelare Nonna Viola","Tall","L"
"0118174753","2014","AniChe Cellars 7 Gables","Cellar","E"
"0122332418","2015","AniChe Cellars Atticus","Tall","E"
"0122332419","2015","AniChe Cellars Atticus","Tall","C"
"0122332153","2016","AniChe Cellars Be Holden","Tall","K"
"0122343877","2015","AniChe Cellars Moth Love","Tall","M"
"0122343878","2015","AniChe Cellars Moth Love","Tall","M"
"0122343513","2017","AniChe Cellars No.5","Tall","K"
"0122343675","2017","AniChe Cellars No.5","Tall","K"
"0118902874","2016","Apothic Crush","Tall","E"
"0118078427","2010","Bodegas Balbas Ribera del Duero Ardal Reserva","Tall","A"
"0121382593","2018","Beckham Estate Vineyard A.D. Beckham Amphora 50/50 Rouge","Tall","E"
"0121382594","2018","Beckham Estate Vineyard A.D. Beckham Amphora 50/50 Rouge","Tall","E"
"0121382366","2017","Beckham Estate Vineyard Pinot Noir A.D. Beckham Amphora Creta","Tall","B"
"0121382367","2017","Beckham Estate Vineyard Pinot Noir A.D. Beckham Amphora Creta","Tall","B"
"0121382030","2016","Beckham Estate Vineyard Pinot Noir Dow's","Cellar","A"
"0121382196","2016","Beckham Estate Vineyard Pinot Noir Dow's","Tall","A"
"0121969294","2015","Bogle Vineyards Phantom","Office","Gracie box"
"0118087687","2013","Bogle Vineyards Phantom","Tall","C"
"0118041168","2017","Cameron Giuliano","Tall","D"
"0118175208","2017","Cameron Pinot Blanc Giovanni","Cellar","A"
"0118078370","2017","Cameron Pinot Noir","Tall","A"
"0118175549","1001","Casal Garcia Vinho Verde Branco","Cellar","B"
"0118174147","2015","Cathedral Ridge Cabernet Sauvignon","Cellar","E"
"0118174148","2015","Cathedral Ridge Cabernet Sauvignon","Cellar","E"
"0118174561","2015","Cathedral Ridge Malbec Reserve McKinley Vineyard","Cellar","D"
"0118174562","2015","Cathedral Ridge Malbec Reserve McKinley Vineyard","Cellar","D"
"0118086890","2016","Domaine Collotte Marsannay Rosé","Tall","B"
"0118086891","2016","Domaine Collotte Marsannay Rosé","Tall","B"
"0118319223","2015","Cooper Ridge Vineyard Merlot","Cellar","C"
"0118319547","2015","Cooper Ridge Vineyard Merlot","Office","U"
"0118088359","2014","Del Rio Vineyards Merlot","Tall","I"
"0118318968","2016","Delfino Cabernet Sauvignon","Cellar","C"
"0118319014","2016","Delfino Cabernet Sauvignon","Cellar","C"
"0118318803","2017","Delfino Dolcetto","Tall","D"
"0118318872","2017","Delfino Dolcetto","Tall","E"
"0118319028","2016","Delfino Tempranillo","Cellar","C"
"0118319029","2016","Delfino Tempranillo","Cellar","C"
"0119502507","2013","Descendants Liegeois Dupont Cuvée Marcel Dupont","Office","HIGHTOWER"
"0119502508","2013","Descendants Liegeois Dupont Cuvée Marcel Dupont","Office","HIGHTOWER"
"0122129107","1001","Diebolt-Vallois Champagne Blanc de Blancs Brut","Tall","C"
"0118175023","2016","Dominio Pingus Ribera del Duero Psi","Cellar","F"
"0118040526","2015","Eola Hills Wine Cellars Tempranillo","Tall","G"
"0118175003","2016","Fairsing Vineyard Pinot Noir","Cellar","F"
"0118041470","2018","Foon Estate Vineyard Rosé de Malbec","Tall","D"
"0118175457","2018","Foon Estate Vineyard Rosé de Malbec","Cellar","B"
"0119502838","2015","Goose Ridge Vineyards Artist Series ""Safe Haven""","Tall","G"
"0119502939","2017","Goose Ridge Vineyards GRV","Cellar","A"
"0119502940","2017","Goose Ridge Vineyards GRV","Tall","B"
"0119502941","2017","Goose Ridge Vineyards GRV","Tall","C"
"0119502291","2015","Goose Ridge Vineyards Vireo","Office","HIGHTOWER"
"0119502292","2015","Goose Ridge Vineyards Vireo","Office","HIGHTOWER"
"0119503708","2015","Goose Ridge Vineyards Vireo","Tall","M"
"0120843215","2017","Hawks View Cellars Pinot Gris","Office","Gracie box"
"0120843180","2016","Hawks View Cellars Pinot Noir","Office","Gracie box"
"0118086630","2018","Hawks View Cellars Pinot Noir Carbonic Hawks View Vineyard","Tall","B"
"0120843046","2015","Hawks View Cellars Pinot Noir Cellar Series Hawks View Vineyard","Office","Gracie box"
"0118087403","2017","Hawks View Cellars Pinot Noir Hawks View Vineyard","Tall","B"
